P	Furthermore, the obtained bounds can be strengthened by using the concept of a dual feasible function (DFF) (Fekete and Schepers, 2001).
P	This procedure is a modified version of the recursive procedure first proposed by Fleszar and Hindi (2003).
O	Similar to the BB&R algorithm for the SALBP-1 proposed by Sewell and Jacobson (2012), the BB&R algorithm uses station-oriented branching and a CBFS search strategy.
P	For details about the BB&R algorithm and the CBFS search strategy, please refer to Sewell and Jacobson (2012).
P	The performance of proposed algorithms, including Procedure 1, the improved DP approach and the BB&R algorithm, are evaluated on two sets of instances: the first set is proposed by Mete et al. (2016) (referred to as Mete’s set), composed of instances with no parallel tasks, and the second set is composed of instances with parallel tasks.
O	The AOG of the instances in Mete’s set are generated by the scheme of Koc et al. (2009), which can be defined by a 3-tuple of (a, t’, K), where a∈{3, 4, 5, 10}, t’∈{2, 3, 5, 10}, and K∈{20, 50, 80} respectively represent the number of subassemblies at each level, the number of immediately successors after each subassembly, and the number of components in the product.
P	The largest instance has 80 components, 7720 tasks and 781 subassemblies, while the smallest instance has 20 components, 108 tasks and 55 subassemblies. For more details about the instances please refer to Mete et al. (2016).
P	Koc et.al (2009), the time limit for the CPLEX solver was set to 600 seconds.
O	Since BS heuristic runs 10 times for each instance as described in Mete et al. (2016), it is evaluated based on the minimal objective value among the 10 runs.
P	The rewritten BS program is validated by comparing its results with those reported in Mete et al. (2016).
O	It is assumed that each task takes apart the product or subassembly into exactly two new subassemblies or into one component and one new subassembly (Koc et al. 2009).
N	We improved the DP approach of Koc et al. (2009) and prove that the SDLBP-1 with no parallel tasks is polynomially solvable.
O	Each vertex of the graph then represents an atom, while an edge represents a molecular bond (Raymond and Willett, 2002).
P	Conte et al. (2004) presented a list of matching problems that basically fall into two main categories: exact isomorphism and error tolerant GM problems.
O	Solving this problem implies minimizing a dissimilarity measure that stands for the cost needed to transform one graph into another through a series of edit operations (Bunke and Allermann, 1983).
P	In the past years, the GED problem has gained more attention, mainly because it has been shown to generalize other GM problems such as maximum common subgraph, graph and subgraph isomorphism (Bunke, 1997; 1999).
O	Zeng et al. (2009) have shown that this particular case of the GED problem with unitary costs for deletion and insertion edit operations is NP-hard.
P	Starting with the exact ones, two Mixed Integer Linear Program (MILP) formulations are proposed by Lerouge et al. (2015) to solve the GED problem.
N	A very efficient MILP formulation (MILPJH) is introduced by Justice and Hero (2006), but it is restricted to the GEDEnA problem.
O	A quadratic formulation for the GED problem, referred to as Quadratic Assignment Problem (QAP), has been proposed by Bougleux et al. (2015).
P	Moving to the heuristic methods, an approach called Bipartite Graph Matching (BP) to solve the GED problem is introduced by Riesen et al. (2007).
P	Later on, many improvements have been proposed as in Riesen and Bunke (2009); Serratosa (2014) and Serratosa (2015), where mainly the cost matrix used is modified and more information about the neighborhood of vertices are considered.
N	Neuhaus et al. (2006) introduced another heuristic that relies on a beam-search method to solve the GED problem.
P	An interesting algorithm is presented by Ferrer et al. (2015) which is basically a combination of BP and beam-search approaches.
O	Bougleux et al. (2017) recently have proposed two algorithms called Integer Projected Fixed Point (IPFP) and Graduate Non Convexity and Concavity Procedure (GNCCP).
O	LocBra was originally introduced by Fischetti and Lodi (2003), as a general metaheuristic based on MILP formulations.
O	MILPJH is a mathematical formulation proposed in Justice and Hero (2006) that deals with the GEDEnA problem.
O	The details about the construction of the model can be found in Justice and Hero (2006) and only a short description is provided here.
N	This formulation was shown to be the most efficient for the GEDEnA problem among the other formulations found in the literature (Robles-Kelly et al., 2016).
O	BeamSearch is a heuristic for the GED problem presented by Neuhaus et al. (2006).
O	SBPBeam is a heuristic for the GED problem introduced by Ferrer et al. (2015).
P	The first one has been originally presented in Riesen et al. (2007) and consists in building a special cost matrix for vertices assignment.
O	IPFP is a heuristic that solves the GED problem and has been proposed by Bougleux et al. (2017).
N	It is based on a heuristic proposed in Leordeanu et al. (2009) to find a solution to the quadratic assignment problem (QAP).
O	GNCCP is introduced by Bougleux et al. (2017). It is also a heuristic for the GED problem that works similarly to IPFP by approximating the QAP problem.
O	More details about IPFP and GNCCP heuristics can be found in Bougleux et al. (2017).
N	This heuristic version follows the original version introduced by Fischetti and Lodi (2003), with improvements outlined when appropriate.
O	This assignment problem, of size max(|Ei|, |Ej|) × max(|Ei|, |Ej|), is solved by the Hungarian algorithm (Munkres, 1957) which requires O(max(|Ei|, |Ej|)3) time.
N	Preliminary experiments, not reported here, have shown that such a diversification significantly improves the local branching heuristic, better than the original one introduced by Fischetti and Lodi (2003), which was quite inefficient for escaping local optima.
P	To conduct the experiments, instances from MUTA (Abu-Aisheh et al., 2015) and PAH (Brun, 2016) databases are selected.
P	These two databases are chosen after reviewing the public datasets (Abu-Aisheh et al., 2015; Brun, 2016), which are usually used to evaluate the GED methods.
O	BeamSearch-α (Neuhaus et al., 2006), with α the beam size.
O	SBPBeam-α (Ferrer et al., 2015), with α the beam size.
O	IPFP-it (Bougleux et al., 2017), with it the maximum number of iterations.
O	GNCCP-d (Bougleux et al., 2017), with d the quantity to be deducted from the ζ variable at each iteration.
P	For BeamSearchα and SBPBeam-α, the heuristics values α are taken from the paper that originally presented the methods (Ferrer et al., 2015; Neuhaus et al., 2006).
P	The same holds for IPFP-it and GNCCPd heuristics, where the parameters values are extracted from Bougleux et al. (2017).
O	This work presents a local branching heuristic for the GEDEnA problem based on the MILPJH formulation of Justice and Hero (Justice and Hero, 2006).
O	Next, the heuristic is evaluated on two databases called MUTA (Abu-Aisheh et al., 2015) and PAH (Brun, 2016).
O	The underlying optimization problem is known as the container relocation problem (CRP) (Forster and Bortfeldt, 2012) or the block(s) relocation problem (BRP) (Caserta et al., 2011) in the literature.
P	It is often referred to as the restricted container (or block) relocation problem (R-BRP) (see, e.g., Galle et al., 2018).
N	More recently, Exp´osito-Izquierdo et al. (2015) have proposed a mathematical model for the R-BRP and a branch-and-bound algorithm which can be truncated and thus used as a heuristic.
P	Eskandari and Azari (2015) propose corrections and improvements to one of the formulations proposed in Caserta et al. (2012) and present improved results for the R-BRP and Ku and Arthanari (2016b) develop an exact method which relies on clever ways to reduce the search space as well as on a bi-directional search scheme.
O	Very recently, Galle et al. (2018) have propose a new mathematical formulation relying on a binary encoding of different configurations.
P	For the unrestricted BRP studied in this paper, Jin et al. (2015) propose a look-ahead heuristic, in which a tree search algorithm is called so as to anticipate the impact of the next relocation.
N	They are able to improve on the results of Forster and Bortfeldt (2012) and Zhuet al. (2012).
P	Tricoire et al. (2018) design a branch-and-bound algorithm and several heuristics for the U-BRP, relying on the notion of safe moves and decreasing sequences, and incorporate them into metaheuristic search schemes which they call rake search and pilot method.
O	Also Azari et al. (2017) rely on a branch-and-bound based heuristic algorithm. In contrast to other studies, they aim at minimizing the total working time of the crane.
O	New lower bounds for the U-BRP have been proposed and used in an A* type algorithm by Quispe et al. (2018).
P	New unifying problem formulations of the premarshalling problem, the R-BRP and the U-BRP have recently been developed by de Melo da Silva et al. (2018).
O	The pre-marshalling problem is also subject to investigation in Jovanovic et al. (2017).
P	In its basic version, first introduced by Kim and Hong (2006), unproductive movements may only concern those containers which are on top of the container which needs to be retrieved next.
P	For Literature review and a classification scheme considering all kinds of problems arising in situations where containers are organized in stacks, we refer to Lehnfeld and Knust (2014).
P	Among the more recent works on the restricted BRP is the one of Jovanovic and Voß (2014).
P	The branchand-bound algorithm relies on a new lower bound, improving on the one of Forster and ortfeldt (2012), and it employs the loop idea of Tanaka and Mizuno (2015), in which the lower bound is iteratively increased by one.
P	Very recently, Tanaka and Mizuno (2018) have designed a branch-and-bound algorithm for the unrestricted BRP.
P	Prandtstetter (2013) developed a dynamic programming based branch-and-bound algorithm for the pre-marshalling problem. 
P	Very recently Tanaka and Tierney (2018) have proposed a new branch-and-bound algorithm for the pre-marshalling problem solving a number of previously unsolved instances to optimality. 
P	Parre˜no Torres and Alvarez-Valdes (2019) develop new integer programming models as well as an iterative solution method which, in each iteration, increases the lower bound on the maximum number of moves needed to rearrange the bays by one until a feasible and thus optimal solution has been found.
O	Generalizations of the BRP involve, e.g., the work of Hakan Aky¨uz and Lee (2014), who introduce the dynamic container relocation problem in which containers are received and retrieved from a single yard-bay.
P	Ku and Arthanari (2016a) propose to incorporate departure time windows and they develop a stochastic dynamic programming model, since the retrieval sequence of containers belonging to the same departure time window is unknown.
O	Two of which have been proposed by other authors (Caserta et al. (2011) and Tricoire et al. (2018)) while the third set is new.
O	The small instances of Caserta et al. (2011) and the large instances proposed by Tricoire et al. (2018) follow the same scheme.
O	Let H donate the maximum height of a stack in an initial configuration, the size of the Caserta et al. instances ranges from (H, W) = (3, 3) until (H, W) = (10, 10), the size of the Tricoire et al. instances ranges from (H, W) = (10, 10) until (H, W) = (100, 100), where we recall that W is the number of stacks.
O	For the small Caserta instances, we use the rake search and pilot method of Tricoire et al. (2018) as well as two versions of the greedy look ahead heuristic (GLAH) of Jin et al. (2015).
O	JZW: evaluation subroutine of the greedy look ahead heuristic of Jin et al. (2015).
O	LA-S-1: extended look-ahead heuristic of Petering and Hussein (2013), where “S-1” defines the look ahead in terms of containers and here it is equal to W − 1.
O	SM-2: heuristic incorporating best safe 1-relocate moves and best safe 2-relocate moves (Tricoire et al., 2018).
O	SmSEQ-2: combination of decreasing sequence relocate (sequence length ≥ 1) and SM-2 (Tricoire et al., 2018).
P	For all construction methods, we use the implementation from Tricoire et al. (2018).
N	Many of the small instances from Caserta et al. (2011) are solved optimally with constructive methods and the necessity of developing complex local search operators is not obvious for these instances.
P	More interesting results are obtained with larger instances like the ones introduced in Tricoire et al. (2018).
N	For the instances of Tricoire et al. (2018) an obvious trend can be observed: the larger the instance, the larger the improvement by our local search algorithm.
N	Average percentage improvement compared to starting solution for benchmark instances of Tricoire et al. (2018) with Hmax = H + 2 and H ∈ {10, 20, 30, 40, 50, 60, 70, 80, 90, 100}.
P	Worst percentage improvement compared to best constructive solution across all methods for benchmark instances of Tricoire et al. (2018).
N	It illustrates that, in the case of the benchmark instances of Tricoire et al. (2018) except for the smallest instances, the worst solution obtained by LS is usually better than the best solution identified with the best performing constructive method.
O	Information on the required CPU time in seconds for the instances of Tricoire et al. (2018) can be found in Tables 2 and 3.
P	Personnel scheduling has been studied extensively over last five decades, with the most common applications associated with airline and airport operations (Kohl and Karisch, 2004), healthcare (Bard et al., 2017; Liang and Turkan, 2016), call centers (Mehrotra and Grossman, 2009), and postal services (Bard et al., 2007; Brunner and Bard, 2013).
O	The range of problems investigated includes workforce sizing and composition in the long term, days off and shift scheduling in the mid-term, task assignments, downgrading and the use of overtime in the short term, and reactive planning to disruptions in real time (e.g., Clausen et al., 2010; see Ernst et al., 2004; Hu et al., 2016).
N	For airport ground handlers at the Munich airport, taking advantage of this option was shown by Hur et al. (2018) to reduce the total number of uncovered periods in a day by up to 94%.
P	Recently, several papers have focused on the impact of break flexibility and different break regulations on shift scheduling (Rekik et al., 2010) and tour scheduling (Kiermaier et al., 2017) given a deterministic workforce demand.
O	Thompson and Pullman (2007) analyzed the impact of scheduling breaks in advance (e.g., prior to the day of operation versus scheduling breaks in real time).
P	Hur et al. (2018) extended their approach to account for randomized demand by developing a rolling horizon procedure that allowed the scheduler to adapt to demand disruptions throughout the day.
O	Nominally starting with the set-covering formulation of the shift scheduling problem by Dantzig (1954), there has been anearly endless stream of research on personnel scheduling.
P	A good summary of problem types and models is given by Ernst et al. (2004).
O	Bechtold and Jacobs (1990) were the first to develop an implicit model for including a break in a shift.
O	For related work, see Bard et al. (2003), Topaloglu and Ozkarahan (2003). 
P	Rekik et al. (2010) proposed a new model that extended the ideas of Bechtold and Jacobs to include several sub-breaks in a shift, rather than a single break. 
O	Based on the formulation of Rekik et al. (2010), Kiermaier et al. (2017) investigated the weekly tour scheduling problem for airport ground handlers in which various break types are considered.
O	Defraeye and Nieuwenhuyse (2016) proposed a branch and bound approach to estimate optimal shift schedules with nonstationary stochastic demand for general personnel scheduling problems.
O	Parisio and Jones (2015) developed a two-stage stochastic optimization model for retail outlets.
O	Maass et al. (2017) proposed a stochastic programming formulation for nurse staffing in the face of uncertain patient demand and nurse absenteeism.
O	Pacqueau and Soumis (2014) modeled a shift scheduling problem with uncertain demand using two-stage stochastic integer programming.
N	Based on the application addressed by Kiermaier et al. (2017), Hur et al. (2018) solved the one-day break assignment problem with five different break types for both deterministic and randomized demand.
P	Instead of using a rolling horizon algorithm, we develop a multi-stage stochastic optimization model and introduce daily scenarios in the same vein as Maass et al. (2017).
P	Rifai et al. (2015) solved a stochastic optimization model for shift scheduling in hospital emergency departments with the objective of minimizing the total expected time that patients wait for service.
O	Kiermaier et al. (2016) studied a flexible cyclic rostering problem to schedule a workforce with uncertain demand.
P	Escudero et al. (2013) used Lagrangian duality to get a lower bound on a two-stage stochastic programming problem.
O	Bard and Purnomo (2007) studied the cyclic nurse scheduling problem and used Lagrangian relaxation to decompose it into independent subproblems – one for each nurse type.
N	Then, to measure the value of stochastic solutions, we calculate the expected value of perfect information (EVPI) and the value of the stochastic solution (VSS) by using the wait-and-see (WS) model and expected value (EV) model (e.g., see Bard et al., 2007; Birge and Louveaux, 1997; Marufuzzaman et al., 2014).
O	Shifts are characterized by variable length, multiple starting times, and flexible break assignments, i.e., the shift scheduling problem incorporates the break assignment subproblem (BAP), which we define with the help of the 3-field classification scheme developed by Kiermaier et al. (2017): [S, M, F | X, V | T, W].
O	Using the definitions provided by Rekik et al. (2010), a shift is a combination of start time and length, a break profile is a number of sub-breaks and their lengths, and a break is a combination of a break profile, start time, and length.
N	In our implicit modeling approach to break scheduling (see Bechtold and Jacobs, 1990; Rekik et al., 2008,2010), the numbers and types of shifts and breaks are determined simultaneously, but the actual break assignments for each shift are determined in a post-processing step.
O	Constraints (1d)–(1f) are the extended forward, backward and equality constraints used to implicitly model breaks (Rekik et al., 2010).
P	They ensure that each shift receives the appropriate number of sub-breaks for the scenario being considered (for more detail, see Hur et al., 2018).
O	We therefore seek a less complex formulation and convert (1a)–(1j) to a two-stage stochastic optimization model (e.g., see Kiermaier et al., 2016 and Maass et al., 2017).
N	Experience has shown that it is best to avoid the use of non-signed Lagrangian multipliers in the dualized model, so we propose to replace (3a) with (3b) and (3c) (e.g.,see Escudero et al., 2013).
P	To find solutions we implemented a standard subgradient procedure (Wolsey, 1998). T
P	In this section, we present a number of ways (e.g., see Birge and Louveaux, 1997; Bard et al., 2007) of measuring the quality of stochastic programming solutions.
P	For the interested reader, Table 1 in Hur et al. (2018) shows all possible break profiles for each break type.
O	More details can be found in Hur et al. (2018).
P	Hur et al. (2018) developed a rolling horizon (RH) approach to the shift and break scheduling problem with random demand.
O	The details can be found in Section 5 in Hur et al. (2018).
O	As mentioned by Hur et al., 2018, the RH results for the flexible shift model are almost identical to those for the fixed shift model because all shift lengths are fixed in advance in both cases.
N	In fact, the last mile is often considered to be one of the most costly and least efficient stages of the whole supply chain (Gevaers et al., 2009).
N	While perishable products can be found in many areas, the food sector presents an important example of an environment in which quality and safety aspects play an important role (Akkerman et al., 2010), and where high perishability leads to considerable losses and wastage (Yu and Nagurney, 2013).
P	Problems concerned with the optimal routing of vehicles, to improve delivery operations, have been extensively studied for decades (Cordeau et al., 2007; Laporte, 2009).
O	Over the course of time, several variants of the basic vehicle routing problem (VRP) have incorporated other aspects and more specific requirements related to decision making in the supply chain context (Schmid et al., 2013).
P	Thus, (Tarantilis and Kiranoudis, 2001) developed a metaheuristic for the vehicle routing related to the distribution of fresh milk with a fleet of heterogenous vehicles.
N	In the context of fresh vegetable distribution, (Osvald and Stirn, 2008) included perishability into the vehicle routing problem with time windows and time-dependent travel times.
P	Amorim and Almada-Lobo (2014) developed a multi-objective model for the vehicle routing problem with time windows to investigate different distribution scenarios and the trade-off between cost and product quality.
P	Rabbani et al. (2015) proposed a multi-objective VRP with time windows and customer selection, assuming a heterogenous fleet of vehicles and considering multiple deteriorating products.
P	Wang et al. (2016) solved a multi-objective VRP with time windows and perishability considerations using a two-phase heuristic method based on a variable neighbourhood search and a genetic algorithm.
O	Rabbani et al. (2016) considered the use of multiple middle depots and incorporated several aspects, such as product freshness and profit maximisation into the objective function.
P	Considering perishability in a site-dependent vehicle routing problem with time windows and a heterogeneous fleet of vehicles, (Amorim et al., 2014) developed a neighbourhood search algorithm and applied it to a real-life case study arising in a Portuguese food distribution company.
N	Hsu et al. (2007) extended the vehicle routing problem with time windows by adding a stochastic cost component related to the perishability of products.
P	Song and Ko (2016) proposed a non-linear model with the objective of maximising customer satisfaction related to the delivery of multi-commodity perishable products with refrigerated and non-refrigerated vehicles.
P	While the focus in the following will be on the latter aspect, examples related to other features can be found in Farahani et al. (2012); Govindan et al. (2014) and the review of Amorim et al. (2013).
O	Nahmias (2011) and Karaesmen et al. (2011) provide reviews related to the management and modelling of perishable inventory systems.
P	For a more general and extensive overview of the field of inventory-routing problems (IRP), its variants and associated solution approaches we refer to the reviews of Andersson et al. (2010); Bertazzi et al. (2008) and Coelho et al. (2013).
P	In the context of perishable products, (Hiassat and Diabat, 2011) proposed an integrated model for a location-inventoryrouting problem considering products with a limited life-span. Le et al. (2013) developed an algorithm for an IRP based on column generation and cutting planes, the problem is extended in Hiassat et al. (2017), integrating location decisions into the model, and solved using a genetic algorithm.
P	Coelho and Laporte (2014) applied branch-and-cut to optimally solve the perishable inventory-routing problem (PIRP) under general assumptions and consideration of two different selling policies.
P	Jia et al. (2014) solved an IRP for perishable products with multiple time windows and loading costs, solving the problem using a twophase solution algorithm.
P	Mirzaei and Seifi (2015) considered the impact of lost sales in their inventory-routing problem.
P	Kande et al. (2015) proposed a tabu search metaheuristic for a routing problem with inventory and lot-sizing decisions as well as multiple source nodes.
O	Dealing with uncertain demand in a multi-period IRP model, (Soysal et al., 2015) further included environmental aspects in the form of greenhouse gas emissions and fuel consumption.
P	Rahimi et al. (2017) developed a multi-objective model for the IRP of perishable products, allowing for a choice of different vehicles.
P	Diabat et al. (2016) proposed a new arc-based formulation and a tabu search algorithm for the inventory-routing problem for perishable products.
P	Azadeh et al. (2016) considered an inventory-routing problem with transshipments for a perishable product and applied a genetic algorithm to solve the problem.
P	Li et al. (2016) developed a mixed integer linear programming model for perishable supply chains, incorporating production decisions in the inventory-routing problem and maximising profit.
N	In addition, (Zhao et al., 2008) proposed a similar structured twoechelon inventory routing problem without perishability considerations.
P	iven this focus, it is reasonable to assume a multi-level system, resulting in a two-echelon routing problem (Hemmelmayr et al., 2012).
O	A survey of two-echelon routing problems can be found in Cuda et al. (2015).
P	These delivery day combinations are represented for each location as a list of combinations of daily time windows, during which deliveries can be made, as it is the case in the periodic vehicle routing problem (PVRP) presented by Cordeau et al. (1997).
O	The first type is associated with an expiry date, meaning that the products are suitable for consumption up until a certain point in time, after which they are discarded (Nahmias, 2011).
N	The second type relates to a gradual decrease in product quality and can be for example observed for salads, fruits and bread (Rong et al., 2011).
P	We therefore propose a two-stage matheuristic, i.e. a “heuristic algorithm[ ] made by the interoperation of metaheuristics and mathematical programming techniques” (Boschetti et al., 2009), combining an adaptive large neighbourhood search (ALNS) with the solution of a MILP formulation, in order to solve the problem for more realistic instances.
O	This operator is based on the related customer removal operators used by Shaw (1998) and Azi et al. (2014).
O	However, while Azi et al. (2014) build on Shaw (1998) by defining a proximity measure based on spatial and temporal distance, we apply two variants of the operator.
O	The acceptance criteria for candidates is based on a simulated annealing rule, as in Ropke and Pisinger (2006).
O	Based on the instances of Song and Ko (2016), the customer demands are volume based and range between 0.3 m3 and 1.8 m3, the capacity of the vehicles used for the customer routing is set at 12 m3.
O	All other parameter values were initially set equal to those of Ropke and Pisinger (2006) and then sequentially altered in the tuning phase.
O	The current body of research on this challenging problem is rich and diverse and has resulted in various problem formulations with extensions to robust time/cost optimization (Hazır et al., 2011; 2010a), stochastic durations (Kang and Choi, 2015; Klerides and Hadjiconstantinou, 2010), budget uncertainty (Yang, 2005), and well as perception about problem complexity and uncertainty (Wauters and Vanhoucke, 2016).
P	The time/cost relation of the activities is modelled as a (piecewise) linear function, convex or concave function, but the most well-known variant is the discrete time/cost trade-off problem (De et al., 1995; 1997) in which only predefined discrete time/cost points can be chosen for each project activity.
N	This NP-hard problem has been solved using exact and meta-heuristic search algorithms, for which a summary is given in Vanhoucke and Debels (2007).
O	Recent summaries of the latest developments in research can be found in papers by Hazır et al. (2010b) and Vanhoucke (2015).
P	Despite this overwhelming amount of problem formulations, only one paper has - to the best of our knowledge - explicitly taken the relation between the project owner and contractor into account (Szmerekovsky and Venkateshan, 2012).
P	Scheduling projects to maximize the net present value was originally introduced in Russell (1970) and has resulted in various exact and heuristic algorithms under different payment models (see e.g. Icmeli et al., 1993 and Vanhoucke et al., 2001).
O	Simultaneously determining both the timing of payments and the completion times of activities has resulted in the socalled payment scheduling problem (Grinold, 1972).
O	However, Szmerekovsky (2005) argues that the project baseline schedule is typically determined by the contractor rather than the owner, and proposes a model in which the owner selects the payment activities and the contractor selects the activity schedule, each to maximize their own net present value.
P	The research builds further on the owner/contractor negotiation problem for the payment scheduling problem for which an overview is given in Dayanand and Padman (1999).
O	Dayanand and Padman (2001) consider the problem of simultaneously determining the amount, location, and timing of progress payments in projects from an owner’s perspective, and present three mixed-integer linear programming models, based on some practical methods of determining payment schedules from different types of project contracts.
P	Further efforts to model the bargaining process between project owner and contractor in order to reach a net present value solution which is fair and impartial for both parties have been proposed by Ulusoy and Cebelli (2000), Kavlak et al. (2009) and Bahrami and Moslehi (2013).
P	Choi et al. (2011) argue that incentive/disincentive and cost-plus-time are the two most widely used alternative contracting strategies to implement public transportation infrastructure projects in the United States.
P	In their paper, Kettunen and Kwak (2018) develop an optimization framework to solve the problem of scheduling procurement contracting, and show that optimization of the project schedule can contribute to the design of the project contract.
P	In Tran et al. (2018), the authors advance the understanding of the impact of the competitive guaranteed maximum price (GMP) contracting strategy on project costs, and provide through several case studies guidance for owners and practitioners to better understand the cost implications of competitive GMP projects throughout the project life.
P	A quantitative framework and extensive summary of the literature for incentive contract design for projects has been recently proposed by Kerkhove and Vanhoucke (2016).
O	However, the authors extend this time/cost trade-off to the scope dimension to model the well-known time/cost/scope trade-off of the project’s iron triangle (Marques et al., 2011).
P	To the best of our knowledge, the only study similar to the current problem formulation is written by Kerkhove and Vanhoucke (2017) who integrate the well-known multi-mode project scheduling problem with incentive contracting.
P	Moreover, Choi and Kwak (2012) are the only authors who present a decision support model for incentives and disincentives to include time/cost trade-offs and propose a model to assist decision makers in estimating better incentive amounts.
N	In the first step, the project is optimized as a joint enterprise between the owner and contractor and consists of the classic time/cost trade-off problem known in the literature (De et al., 1995).
N	It has been mentioned earlier that the problem formulations show some similarities with the work by Kerkhove and Vanhoucke (2016, 2017), but it is crucial to highlight some important differences in some essential aspects of our study.
O	Similar to Kerkhove and Vanhoucke (2016), the contract design will be limited to linear incentive contracting, i.e. time and cost are linearly related to each other, and incentives are used to align the project objectives to the objectives of both owner and contractor. 
N	Unlike Kerkhove and Vanhoucke (2017), we have extended the project scheduling problem to incorporate effort under risk, which is a central theme in our study.
P	Such a translation of project time into a monetary value has been used by Kerkhove and Vanhoucke (2016) through a so-called valuation parameter v, not only to translate the project time (parameter vd), but also the scope dimension of the project (parameter vs), into monetary units.
O	Hence, the contractor may make decisions that conflict with the owner’s objective, which is known in the principal-agent literature as the moral hazard problem (Bolton and Dewatripont, 2005; Laffont and Martimort, 2002; Rowell and Connelly, 2012).
O	An option to deal with this problem is to contract based on the project’s actual outcome (Hölmstrom, 1979; Holmstrom and Milgrom, 1987).
O	The certainty equivalent has the form of a mean-variance utility, see Gibbons (2005) and Lal and Srinivasan (1993).
P	This contract is called the second-best contract in principal-agent theory because it is optimal given information asymmetry between the contractor and the owner, (Bolton and Dewatripont, 2005; Laffont and Martimort, 2002).
P	In fact, problem CP reduces to the discrete time/cost tradeoff problem, which is known to be NP-hard (De et al., 1997).
P	In fact, CP can be solved using exact methods such as branch and bound (Demeulemeester et al., 1998), Benders decomposition (Erengüç et al., 1993) or meta heuristics (Vanhoucke and Debels, 2007).
